Designator,Value,Package,Mid X,Mid Y,Rot,Side
C1,22pF,C_0805_2012Metric,135.828249,3.828249,45.000000,top
C2,22pF,C_0805_2012Metric,130.000000,9.500000,225.000000,top
C3,1uF,C_0805_2012Metric,133.078249,20.921751,135.000000,top
C4,0.1uF,C_0805_2012Metric,128.500000,15.750000,135.000000,top
C5,0.1uF,C_0805_2012Metric,143.921751,5.750000,315.000000,top
C6,0.1uF,C_0805_2012Metric,148.500000,18.000000,45.000000,top
C7,10uF,C_0805_2012Metric,137.421751,23.671751,45.000000,top
D1,D,D_SOD-123,44.577000,63.754000,90.000000,top
D2,D,D_SOD-123,63.405000,63.745000,90.000000,top
D3,D,D_SOD-123,82.405000,63.745000,90.000000,top
D4,D,D_SOD-123,101.405000,63.745000,90.000000,top
D5,D,D_SOD-123,120.405000,63.745000,90.000000,top
D6,D,D_SOD-123,149.405000,63.745000,90.000000,top
D7,D,D_SOD-123,168.405000,63.745000,90.000000,top
D8,D,D_SOD-123,187.405000,63.745000,90.000000,top
D9,D,D_SOD-123,206.405000,63.745000,90.000000,top
D10,D,D_SOD-123,225.405000,63.745000,90.000000,top
D11,D,D_SOD-123,49.276000,44.943500,90.000000,top
D12,D,D_SOD-123,68.326000,44.943500,90.000000,top
D13,D,D_SOD-123,87.376000,44.943500,90.000000,top
D14,D,D_SOD-123,106.426000,44.943500,90.000000,top
D15,D,D_SOD-123,125.476000,44.943500,90.000000,top
D16,D,D_SOD-123,144.526000,44.943500,90.000000,top
D17,D,D_SOD-123,163.576000,44.943500,90.000000,top
D18,D,D_SOD-123,182.626000,44.943500,90.000000,top
D19,D,D_SOD-123,201.676000,44.943500,90.000000,top
D20,D,D_SOD-123,220.726000,44.943500,90.000000,top
D21,D,D_SOD-123,40.132000,26.670000,90.000000,top
D22,D,D_SOD-123,63.627000,26.670000,90.000000,top
D23,D,D_SOD-123,82.634666,26.670000,90.000000,top
D24,D,D_SOD-123,101.642332,26.670000,90.000000,top
D25,D,D_SOD-123,120.650000,26.670000,90.000000,top
D26,D,D_SOD-123,149.352000,26.670000,90.000000,top
D27,D,D_SOD-123,168.402000,26.670000,90.000000,top
D28,D,D_SOD-123,187.452000,26.670000,90.000000,top
D29,D,D_SOD-123,206.502000,26.670000,90.000000,top
D30,D,D_SOD-123,221.361000,26.670000,90.000000,top
D31,D,D_SOD-123,114.046000,5.715000,90.000000,top
D32,D,D_SOD-123,152.200000,5.715000,90.000000,top
D33,SR05.TCT,Semtech-SOT-143-0-0-MFG,138.250000,62.500000,0.000000,top
D34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,48.415700,58.733800,0.000000,top
D35,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,47.752000,23.495000,0.000000,top
D36,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.862900,18.034000,0.000000,top
D37,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.126000,3.810000,0.000000,top
D38,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.226000,3.810000,0.000000,top
D39,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,183.344700,18.034000,0.000000,top
D40,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,228.600000,23.495000,0.000000,top
D41,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,227.838000,58.733800,0.000000,top
F1,500mA,Fuse_0805_2012Metric,132.000000,58.437500,90.000000,top
R1,10k,R_0805_2012Metric,126.587500,19.250000,180.000000,top
R2,22,R_0805_2012Metric,136.800000,57.212500,90.000000,top
R3,22,R_0805_2012Metric,139.400000,57.212500,90.000000,top
R4,10k,R_0805_2012Metric,148.750000,11.000000,135.000000,top
R5,5.1k,R_0805_2012Metric,141.800000,59.387500,90.000000,top
R6,5.1k,R_0805_2012Metric,134.400000,59.387500,90.000000,top
R7,1M,R_0805_2012Metric,144.500000,64.500000,270.000000,top
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,139.632808,14.364054,225.000000,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,138.110000,76.200000,180.000000,top
X1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,132.791550,6.610628,135.000000,top