"Designator","Quantity",Value,Package,LCSC Part #
"C2, C1, ","2",22pF,0805,C1804
"C3, ","1",1uF,0805,C28323
"C4, C5, C6, ","3",0.1uF,0805,C49678
"C7, ","1",10uF,0805,C15850
"D1, D2, D3, D4, D5, D11, D12, D13, D14, D15, D21, D22, D23, D24, D25, D31, D6, D7, D8, D9, D10, D16, D17, D18, D19, D20, D26, D27, D28, D29, D30, D32, ","32",D,SOD-123,C64898
"D33, ","1",SR05.TCT,SOT-143,C521962
"D34, D35, D36, D37, D38, D39, D41, D40, ","8",WS2812B,SMD 5x5,
"F1, ","1",500mA,0805,C66452
"R2, R3, ","2",22,0805,C17561
"R4, R1, ","2",10k,0805,C17414
"R5, R6, ","2",5.1k,0805,C27834
"R7, ","1",1M,0805,C17514
"U1, ","1",ATmega32U4-AU,TQFP-44 10x10mm,C44854
"USB1, ","1",HRO-TYPE-C-31-M-12,,C165948
"X1, ","1",16MHz,3225,C13738